year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,8,6,13,1,2,0,0,1,3,4,0,15
1985,8,7,5,4,3,1,0,0,0,2,5,8
1986,17,5,4,2,0,13,3,0,2,1,5,4
1987,14,14,3,5,4,6,0,0,0,3,6,9
1988,13,5,13,17,0,0,0,3,0,4,6,8
1989,8,9,5,6,4,10,3,1,1,1,2,6
1990,17,8,3,2,5,0,2,1,0,3,6,6
1991,11,10,6,5,0,5,2,0,0,1,6,7
1992,12,5,6,9,11,1,1,5,0,2,3,5
1993,11,8,1,1,9,7,1,3,1,2,3,12
1994,12,12,0,5,1,3,0,0,0,0,4,9
1995,15,19,4,7,5,7,1,1,0,2,6,13
1996,9,8,6,6,0,2,2,1,0,3,6,16
1997,10,12,3,1,7,1,1,2,0,4,3,6
1998,13,8,14,5,4,7,1,2,2,0,6,17
1999,8,11,11,2,0,4,0,0,1,5,3,9
2000,17,10,12,10,3,1,0,0,0,5,6,9
2001,10,12,12,2,5,6,7,0,3,0,5,9
2002,10,21,3,3,1,0,0,0,0,1,5,16
2003,12,6,7,4,3,3,1,1,0,1,9,10
2004,13,13,10,2,11,3,0,0,0,3,4,10
2005,9,7,10,4,2,3,5,3,1,2,7,15
2006,17,16,17,4,1,0,2,0,0,4,8,14
2007,9,8,17,2,5,1,2,0,0,1,0,13
2008,8,10,10,3,0,4,0,2,0,5,3,14
2009,7,7,4,4,8,2,0,0,1,0,5,9
2010,11,7,3,8,3,5,7,2,6,4,6,4
2011,10,20,11,9,7,3,3,0,0,7,8,7
2012,19,8,5,3,0,0,0,0,1,3,8,14
2013,15,10,15,5,8,17,4,6,1,9,6,16
2014,7,13,5,10,2,6,7,5,5,4,11,19
